DATE,PM2.5,PM10,CO2,HCHO,TEMPERATURE,HUMIDITY
2023/8/17 11:47,1.1,1.7,757,0.016,78.6,58.3
2023/8/17 11:48,1.3,1.6,756,0.015,78.6,58.2
2023/8/17 11:49,1.1,1.5,754,0.016,78.6,58.1
2023/8/17 11:50,1.2,1.6,755,0.016,78.7,58.1
2023/8/17 11:51,1.1,1.3,755,0.016,78.7,58.1
2023/8/17 11:52,1.1,1.4,755,0.016,78.8,58.1
2023/8/17 11:53,1.2,1.8,760,0.016,78.8,58.1
2023/8/17 11:54,1.5,2.2,770,0.016,78.8,58.1
2023/8/17 11:55,1.3,1.7,776,0.016,78.8,58
2023/8/17 11:56,1.1,1.7,785,0.016,78.8,58
2023/8/17 11:57,1.2,1.5,789,0.016,78.8,58
2023/8/17 11:58,1.3,2,795,0.016,78.9,58
2023/8/17 11:59,1.1,1.6,798,0.016,78.9,57.9
2023/8/17 12:00,1.3,1.9,802,0.016,78.9,57.9
2023/8/17 12:01,1.4,2,805,0.016,78.9,57.9
2023/8/17 12:02,1.2,1.8,810,0.016,79,57.8
2023/8/17 12:03,1.2,1.6,812,0.016,79,57.9
2023/8/17 12:04,1.2,1.7,816,0.016,79,57.8
2023/8/17 12:05,1.2,1.8,818,0.016,79.1,57.8
2023/8/17 12:06,0.9,1,821,0.016,79.1,57.8
2023/8/17 12:07,1.2,1.3,824,0.015,79.1,57.8
2023/8/17 12:08,0.9,1.1,830,0.016,79.1,57.8
2023/8/17 12:09,0.9,1.2,834,0.015,79.1,57.7
2023/8/17 12:10,1,1.7,844,0.016,79.1,57.8
2023/8/17 12:11,0.8,1,856,0.016,79.1,57.8
2023/8/17 12:12,1.1,1.7,863,0.016,79.2,57.8
2023/8/17 12:13,1,1.1,863,0.016,79.2,57.7
2023/8/17 12:14,1.2,1.7,862,0.015,79.2,57.7
2023/8/17 12:15,1.4,2.3,861,0.015,79.3,57.7
2023/8/17 12:16,1.4,1.8,862,0.015,79.3,57.6
2023/8/17 12:17,1.3,2,868,0.016,79.3,57.6
2023/8/17 12:18,1.1,1.4,869,0.015,79.3,57.6
2023/8/17 12:19,1.1,1.5,871,0.015,79.3,57.6
2023/8/17 12:20,1.3,1.7,871,0.015,79.4,57.5
2023/8/17 12:21,1.1,1.6,872,0.015,79.4,57.5
2023/8/17 12:22,0.9,1.2,872,0.015,79.4,57.4
2023/8/17 12:23,1.5,2.4,874,0.015,79.4,57.5
2023/8/17 12:24,1.3,1.8,876,0.015,79.4,57.4
2023/8/17 12:25,1.5,2.2,878,0.015,79.5,57.4
2023/8/17 12:26,1.9,2.6,878,0.015,79.5,57.3
2023/8/17 12:27,1.6,1.8,880,0.015,79.5,57.3
2023/8/17 12:28,1.9,2.4,883,0.015,79.5,57.3
2023/8/17 12:29,1.9,2.4,889,0.016,79.5,57.3
2023/8/17 12:30,1.9,2.3,885,0.015,79.6,57.3
2023/8/17 12:31,1.3,1.5,881,0.015,79.6,57.1
2023/8/17 12:32,1.5,2.1,880,0.015,79.6,57.1
2023/8/17 12:33,1.9,2.3,877,0.015,79.6,57
2023/8/17 12:34,1.3,1.6,875,0.015,79.6,57
2023/8/17 12:35,1.5,2,868,0.015,79.7,56.9
2023/8/17 12:36,1.6,2,863,0.015,79.6,56.9
2023/8/17 12:37,1.5,1.7,861,0.015,79.7,56.9
2023/8/17 12:38,1.6,2.4,857,0.015,79.6,56.8
2023/8/17 12:39,1.8,2.4,852,0.015,79.7,56.8
2023/8/17 12:40,1.8,2.4,851,0.015,79.7,56.7
2023/8/17 12:41,1.7,2.1,845,0.015,79.7,56.7
2023/8/17 12:42,1.6,2,843,0.015,79.7,56.6
2023/8/17 12:43,1.8,2.5,843,0.015,79.8,56.6
2023/8/17 12:44,2,2.1,838,0.015,79.8,56.5
2023/8/17 12:45,1.3,1.7,837,0.015,79.8,56.5
2023/8/17 12:46,1.6,2,834,0.015,79.7,56.5
2023/8/17 12:47,1.6,1.7,833,0.015,79.8,56.4
2023/8/17 12:48,1.6,1.9,828,0.015,79.7,56.5
2023/8/17 12:49,1.6,2.4,827,0.015,79.8,56.4
2023/8/17 12:50,1.5,1.6,825,0.014,79.8,56.4
2023/8/17 12:51,1.4,2,823,0.014,79.7,56.4
